,Price,BHK,beds,baths,balcony,covered-parking,Carpet Area,Developer,Project,Floor,Transaction type,Status,Lifts,Address,Furnishing,Flooring,Water Availability,Status of Electricity,Price_Updated,BHK_2
599,42500000,3,3,3,2,2,176,,,3 (Out of 3 Floors),Resale,Ready to Move,0,"Greater Kailash 1, GK I, New Delhi - South, Delhi NCR",Semi-Furnished,"Ceramic Tiles, Granite, Marble, Marbonite",24 Hours Available,No/Rare Powercut,₹4.25 Cr,3 
600,35000000,3,3,3,4,nan,167,,,Ground (Out of 2 Floors),Resale,Ready to Move,0,"A-2 Block, Safdarjung Enclave, New Delhi - South, Delhi NCR",Semi-Furnished,,,,₹3.50 Cr,3 
601,2400000,2,2,nan,1,nan,550,,,Ground (Out of 4 Floors),New Property,Ready to Move,0,"Near by Dashrathpuri metro station, Mahavir Enclave Part 1, New Delhi - West, Delhi NCR",Unfurnished,,,,₹24.0 Lac,2 
602,24000000,3,3,2,2,2,1500,,Triveni Apartments,1 (Out of 2 Floors),Resale,Ready to Move,0,"Sheikh Sarai Phase 1, New Delhi - South, Delhi NCR",Semi-Furnished,Mosaic,,,₹2.40 Cr,3 
603,28000000,3,3,3,2,nan,1450,,,3 (Out of 4 Floors),Resale,Ready to Move,0,"3333., Swasthya Vihar, New Delhi - East, Delhi NCR",Unfurnished,,,,₹2.80 Cr,3 
604,55000000,3,3,3,3,1,1768,TARC The Anant Raj Corporation,TARC Tripundra,4 (Out of 10 Floors),New Property,,3,"Bijwasan, New Delhi, Bijwasan, New Delhi - South, Delhi NCR",Semi-Furnished,"Marble, Wooden",24 Hours Available,No/Rare Powercut,₹5.50 Cr,3 
605,21000000,3,3,3,4,nan,1500,Cooperative Group Housing Society,The Jhelum Apartments,5 (Out of 10 Floors),Resale,Ready to Move,0,"Dwarka Sector 5, New Delhi, Sector 5 Dwarka, New Delhi - Dwarka, Delhi NCR",Unfurnished,Marble,,,₹2.10 Cr,3 
606,41000000,3,3,3,2,nan,209,,,Ground (Out of 3 Floors),Resale,Ready to Move,0,"New Delhi, Hauz Khas, New Delhi - South, Delhi NCR",Unfurnished,,,,₹4.10 Cr,3 
607,22500000,3,3,3,2,1,1700,,,Ground (Out of 4 Floors),Resale,Ready to Move,0,"South Extension 1, New Delhi - South, Delhi NCR",Furnished,"Ceramic Tiles, Granite",24 Hours Available,No/Rare Powercut,₹2.25 Cr,3 
608,35000000,3,3,3,2,nan,1700,,,4 (Out of 4 Floors),New Property,Ready to Move,0,"Agcr Enclave, New Delhi - East, Delhi NCR",Semi-Furnished,"Mosaic, Marbonite",,,₹3.50 Cr,3 
609,28000000,3,3,3,4,1,1800,Cooperative Group Housing Society,Raman Vihar Apartment,3 (Out of 10 Floors),Resale,Ready to Move,2,"Dwarka Sector 11, New Delhi, Sector 11 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,Vitrified,24 Hours Available,No/Rare Powercut,₹2.80 Cr,3 
610,26000000,3,3,3,2,nan,1350,Sunehari Bagh Builders Pvt. Ltd.,Sunehari Bagh Apartment,3 (Out of 7 Floors),New Property,Ready to Move,0,"Rohini Sector 13, New Delhi, Sector 13 Rohini, New Delhi - Rohini, Delhi NCR",Unfurnished,Marble,24 Hours Available,No/Rare Powercut,₹2.60 Cr,3 
611,4800000,3,3,2,nan,nan,795,,,3 (Out of 3 Floors),Resale,Ready to Move,0,"dwarka metro station, Dwarka Mor, New Delhi - West, Delhi NCR",Semi-Furnished,"Vitrified, Ceramic Tiles, Normal Tiles/Kotah Stone",24 Hours Available,No/Rare Powercut,₹48.0 Lac,3 
612,24000000,3,3,3,3,2,2000,Cooperative Group Housing Society,CGHS Chitrakoot Apartments,7 (Out of 10 Floors),Resale,Ready to Move,3,"New Delhi Dwarka, Sector 22, Sector 22 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,"Ceramic Tiles, Marble, Vitrified, Wooden",24 Hours Available,No/Rare Powercut,₹2.40 Cr,3 
613,26500000,3,3,3,2,nan,1450,Delhi Development Authority DDA,DDA Pocket 8,Ground (Out of 4 Floors),Resale,Ready to Move,0,"B8 Vasant Kunj New Delhi, Sector B Vasant Kunj, New Delhi - South, Delhi NCR",Semi-Furnished,,,,₹2.65 Cr,3 
614,21000000,3,3,3,1,1,1000,,,1 (Out of 4 Floors),New Property,Ready to Move,0,"122., Derawal Nagar, New Delhi - North, Delhi NCR",Semi-Furnished,"Ceramic Tiles, Granite, Marble, Vitrified, Wooden",24 Hours Available,No/Rare Powercut,₹2.10 Cr,3 
615,16900000,3,3,3,2,1,1500,Cooperative Group Housing Society,Abhinav Apartment,4 (Out of 7 Floors),Resale,Ready to Move,2,"Vasundhara Enclave, New Delhi, Vasundhara Enclave, New Delhi - East, Delhi NCR",Semi-Furnished,Ceramic Tiles,24 Hours Available,No/Rare Powercut,₹1.69 Cr,3 
616,11000000,2,2,2,nan,nan,850,Shekhar CoOperative Group Housing Society Ltd.,Shekhar Apartments,Ground (Out of 4 Floors),Resale,Ready to Move,0,"Mayur Vihar 1, New Delhi, Mayur Vihar 1, New Delhi - East, Delhi NCR",Furnished,Mosaic,24 Hours Available,No/Rare Powercut,₹1.10 Cr,2 
617,40000000,3,3,4,4,2,192,,,2 (Out of 4 Floors),New Property,Ready to Move,0,"Chittaranjan park new delhi., Chittaranjan Park, New Delhi - South, Delhi NCR",Semi-Furnished,"Vitrified, Marble",24 Hours Available,No/Rare Powercut,₹4.0 Cr,3 
618,4900000,2,2,nan,1,nan,950,,,1 (Out of 4 Floors),New Property,Ready to Move,0,"Add c30 b, 1st floor dsidc flats, above krishna clinic, pashim puri, new delhi-110063., Paschim Vihar, New Delhi - West, Delhi NCR",Unfurnished,Marble,24 Hours Available,No/Rare Powercut,₹49.0 Lac,2 
619,18000000,3,3,3,2,1,1700,The Antriksh Group,Rashi Apartments,5 (Out of 10 Floors),Resale,Ready to Move,2,"Dwarka Sector 7, New Delhi, Palam Extension, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,"Ceramic Tiles, Marble, Mosaic",24 Hours Available,No/Rare Powercut,₹1.80 Cr,3 
620,33500000,3,3,3,2,nan,1800,,,Ground (Out of 4 Floors),New Property,Ready to Move,0,"near metro station, Patel Nagar East, New Delhi - West, Delhi NCR",Semi-Furnished,,,,₹3.35 Cr,3 
621,34600000,2,2,2,3,1,1100,Godrej Properties,Godrej South Estate,17 (Out of 29 Floors),New Property,,3,"Okhla, New Delhi, Okhla Phase 1, New Delhi - South, Delhi NCR",Unfurnished,Normal Tiles/Kotah Stone,24 Hours Available,No/Rare Powercut,₹3.46 Cr,2 
622,13000000,2,2,2,nan,nan,900,,,1 (Out of 3 Floors),Resale,Ready to Move,0,"none, Kalkaji, New Delhi - South, Delhi NCR",Unfurnished,,,,₹1.30 Cr,2 
623,23000000,3,3,3,1,nan,1300,,,Ground (Out of 4 Floors),New Property,Ready to Move,0,"c3, Janakpuri Block C3, New Delhi - West, Delhi NCR",Unfurnished,Vitrified,,,₹2.30 Cr,3 
624,18400000,3,3,3,2,nan,1325,,,3 (Out of 4 Floors),Resale,Ready to Move,0,"200 mts From Krishna Nagar Metro Station, Krishna Nagar, New Delhi - East, Delhi NCR",Unfurnished,,,,₹1.84 Cr,3 
625,26000000,3,3,3,3,2,1600,Delhi Development Authority DDA,DDA Saket Court Residential Complex,2 (Out of 4 Floors),Resale,Ready to Move,0,"New Delhi, Saket, New Delhi - South, Delhi NCR",Unfurnished,Marble,24 Hours Available,No/Rare Powercut,₹2.60 Cr,3 
626,23500000,3,3,3,2,2,1800,,,4 (Out of 4 Floors),New Property,Ready to Move,0,"D Blk, Mansarover Garden, New Delhi - West, Delhi NCR",Semi-Furnished,"Wooden, Marble, Granite",24 Hours Available,No/Rare Powercut,₹2.35 Cr,3 
627,4800000,2,2,2,1,1,800,Delhi Development Authority DDA,DDA Freedom Fighter Enclave,1 (Out of 4 Floors),New Property,Ready to Move,0,"Freedom Fighters Enclave, New Delhi - South, Delhi NCR",Semi-Furnished,"Ceramic Tiles, Marbonite",24 Hours Available,No/Rare Powercut,₹48.0 Lac,2 
628,11500000,3,3,3,nan,nan,1400,Cooperative Group Housing Society,Abhimanyu Apartments,3 (Out of 3 Floors),Resale,Ready to Move,7,"Vasundhara Enclave, New Delhi, Vasundhara Enclave, New Delhi - East, Delhi NCR",Semi-Furnished,Normal Tiles/Kotah Stone,24 Hours Available,No/Rare Powercut,₹1.15 Cr,3 
629,11000000,3,3,nan,nan,nan,1100,Delhi Development Authority DDA,DDA KD Block,2 (Out of 3 Floors),Resale,Ready to Move,0,"KD Block, Pitampura, Pitampura, New Delhi - West, Delhi NCR",Unfurnished,Ceramic Tiles,24 Hours Available,No/Rare Powercut,₹1.10 Cr,3 
630,7500000,2,2,2,nan,1,67,,,3 (Out of 4 Floors),Resale,Ready to Move,0,"3rd floor, Sector 12 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,Vitrified,24 Hours Available,No/Rare Powercut,₹75.0 Lac,2 
631,6500000,3,3,2,nan,nan,100,,,1 (Out of 4 Floors),Resale,Ready to Move,0,"Rajngar 1, piller no 55, palam colony, new delhi., Raj Nagar 1, New Delhi - South, Delhi NCR",Unfurnished,Marble,,,₹65.0 Lac,3 
632,8000000,3,3,2,1,nan,900,,,2 (Out of 4 Floors),New Property,,0,"Ratan Park, New Delhi - West, Delhi NCR",Semi-Furnished,,,,₹80.0 Lac,3 
633,6000000,3,3,3,nan,nan,1550,,,2 (Out of 4 Floors),New Property,Ready to Move,0,"Chattarpur Enclave, New Delhi - South, Delhi NCR",Semi-Furnished,,,,₹60.0 Lac,3 
